Location number,Month,State,Gross revenue,Fixed cost,Variable cost,Rental cost,Number of products,Owned,Profit Margin (Adjusted)
1,1,TX,48628171.02,9218156.69,24278189.23,365880,4452,FALSE,0.3036500199426995
1,2,TX,48107179.24,10587747.35,25116844.41,365880,4452,FALSE,0.2502060538604965
1,3,TX,64352278.29,10193873.77,33703499.83,365880,4452,FALSE,0.3121727034973014
1,4,TX,45943677.96,8764165,24037719.47,365880,4452,FALSE,0.27807772597403085
1,5,TX,32761434.98,8022116.43,16432119.18,365880,4452,FALSE,0.2423983984476861
1,6,TX,50677036.26,9763597.3,26233794.37,365880,4452,FALSE,0.2824507044287833
1,7,TX,28215465.22,8245679.54,14457234.12,365880,4452,FALSE,0.18240605001089544
1,8,TX,38955413.84,7863853.69,19744464.29,365880,4452,FALSE,0.28189190609301973
1,9,TX,43602895.19,9067861.36,22138203.51,365880,4452,FALSE,0.2759209054255463
1,10,TX,52406102.98,9062239.73,26246199.3,365880,4452,FALSE,0.31927166872883933
1,11,TX,35787752.27,8447265.61,18430895.18,365880,4452,FALSE,0.23873283282901198
1,12,TX,55301461.38,11659020.22,28549551,365880,4452,FALSE,0.2663041770054577
2,1,TX,26297731.69,5700821.21,13940585.91,65270,4502,FALSE,0.25063205631937907
2,2,TX,29373940.73,5149798.01,16412859.21,65270,4502,FALSE,0.26370358615481543
2,3,TX,43106366.5,6439025.77,23744322.11,65270,4502,FALSE,0.2982795736216831
2,4,TX,27502430.13,6509449.94,14180182.63,65270,4502,FALSE,0.2453429579897272
2,5,TX,28234770.46,6195521.44,15099795.28,65270,4502,FALSE,0.24346518948112603
2,6,TX,38553934.1,7234173.47,20864005.48,65270,4502,FALSE,0.26950518520495165
2,7,TX,23334314.31,6187056.38,13021595.31,65270,4502,FALSE,0.17400951088843028
2,8,TX,26499772.89,5893215.38,13811061.73,65270,4502,FALSE,0.2539729607471365
2,9,TX,33323266.84,6054758.23,18391616.51,65270,4502,FALSE,0.264428519037721
2,10,TX,23171373.46,5227811.96,12355629.76,65270,4502,FALSE,0.2383398528159582
2,11,TX,26668091.91,4711750.21,14968695.58,65270,4502,FALSE,0.25957523107996516
2,12,TX,29907019.69,7570566.79,16938750.44,65270,4502,FALSE,0.17830036276677225
3,1,IL,30791018.69,6123108,17948338.14,83885.64762391313,4620,TRUE,0.2155072220631388
3,2,IL,23805331.16,5014361.53,13051817.38,83885.64762391313,4620,TRUE,0.23756303007784266
3,3,IL,33916624.99,6043273.71,19190769.99,83885.64762391313,4620,TRUE,0.25352450737393045
3,4,IL,24170582.83,5196755.17,13505396.58,83885.64762391313,4620,TRUE,0.22277267661468647
3,5,IL,24925332,4688566.82,14531349.44,83885.64762391313,4620,TRUE,0.22553481303182188
3,6,IL,36980121.91,6078797.2,20381261.95,83885.64762391313,4620,TRUE,0.28221045722280275
3,7,IL,21011894.45,5069282.69,11654140.58,83885.64762391313,4620,TRUE,0.2001050187255288
3,8,IL,27514438.9,5013502.99,14802054.99,83885.64762391313,4620,TRUE,0.27676360401360334
