Store number,Efficiency,Best comparison
1,0.91,233
2,0.85,233
3,0.91,194
4,0.9,137
5,0.95,129
6,0.82,48
7,0.85,194
8,0.9,133
9,1.0,9
10,0.9,233
11,0.89,180
12,0.77,233
13,0.86,137
14,0.9,137
15,0.92,34
16,0.98,328
17,0.93,9
18,0.88,9
19,0.92,285
20,0.94,34
21,0.94,180
22,0.96,281
23,0.92,271
24,0.91,271
25,0.82,233
26,0.92,137
27,0.88,48
28,0.86,133
29,0.86,328
30,0.91,118
31,0.99,9
32,0.78,233
33,0.93,307
34,1.0,34
35,0.92,271
36,0.89,271
37,0.92,133
38,0.77,48
39,1.0,39
40,0.94,233
41,0.94,127
42,0.91,34
43,1.0,43
44,0.82,34
45,0.88,137
46,0.85,48
47,0.9,137
48,1.0,48
49,1.0,180
50,0.88,9
51,0.95,48
52,0.97,233
53,1.0,53
54,0.94,34
55,0.87,271
56,0.85,9
57,0.86,137
58,0.84,68
59,0.86,68
60,0.91,129
61,0.81,137
62,0.86,48
63,0.93,300
64,0.88,137
65,0.87,9
66,0.76,9
67,0.96,271
68,1.0,68
69,0.95,114
70,1.0,70
71,0.9,118
72,0.87,129
73,0.84,133
74,0.87,173
75,1.0,75
76,0.89,233
77,0.92,127
78,0.89,133
79,1.0,34
80,0.99,173
81,1.0,81
82,0.85,233
83,0.86,194
84,0.95,34
85,0.99,194
86,1.0,86
87,0.9,233
88,0.96,48
89,1.0,89
90,0.98,194
91,0.95,233
92,0.91,48
93,0.86,194
94,0.85,48
95,0.9,129
96,0.9,9
97,0.83,198
98,0.89,307
99,0.95,34
100,0.92,48
101,0.87,34
102,0.91,48
103,0.93,180
104,1.0,104
105,0.96,233
106,0.88,271
107,0.97,292
108,0.94,127
109,0.9,233
110,0.8,48
111,0.8,137
112,0.83,137
113,0.91,9
114,1.0,114
115,0.91,233
116,0.92,9
117,0.97,9
118,1.0,118
119,0.96,81
120,0.85,233
121,0.95,133
122,0.96,285
123,0.9,118
124,0.9,328
125,0.87,34
126,0.88,127
127,1.0,127
128,0.9,9
129,1.0,129
130,0.97,180
131,0.91,328
132,0.92,34
133,1.0,133
134,0.87,233
135,0.91,48
136,0.86,194
137,1.0,137
138,0.93,271
139,0.85,137
140,0.91,34
141,0.98,285
142,0.91,118
143,0.96,68
144,0.95,9
145,0.93,127
146,0.86,194
147,0.85,34
148,0.84,137
149,0.93,127
150,0.93,328
151,0.91,194
152,0.93,271
153,1.0,153
154,0.82,271
155,0.93,133
156,0.92,233
157,0.64,198
158,0.96,194
159,1.0,159
160,0.92,271
161,0.92,233
162,0.87,48
163,0.88,34
164,0.92,233
165,0.98,173
166,1.0,75
167,0.87,271
168,0.92,233
169,0.92,34
170,1.0,170
171,1.0,171
172,0.96,118
173,1.0,173
174,1.0,174
175,0.87,233
176,0.87,34
177,1.0,177
178,0.89,118
179,0.97,137
180,1.0,180
181,0.92,233
182,0.96,194
183,0.9,118
184,0.91,133
185,0.97,133
186,0.98,53
187,0.83,48
188,0.97,104
189,0.98,180
190,0.92,194
191,0.88,9
192,0.92,34
193,0.87,233
194,1.0,194
195,0.91,271
196,0.95,70
197,0.95,118
198,1.0,198
199,0.94,173
200,1.0,9
201,0.99,300
202,0.89,9
203,0.9,133
204,0.96,271
205,0.89,271
206,0.86,133
207,0.86,133
208,0.79,133
209,0.85,173
210,0.91,271
211,1.0,211
212,0.81,9
213,0.93,194
214,0.91,256
215,0.98,127
216,0.85,281
217,0.96,328
218,0.87,233
219,0.92,48
220,0.91,233
221,0.91,271
222,0.92,194
223,0.84,9
224,0.91,133
225,0.94,48
226,0.92,133
227,0.9,34
228,0.93,271
229,0.95,34
230,0.9,34
231,0.85,328
232,0.9,133
233,1.0,233
234,0.91,233
235,0.88,9
236,0.9,233
237,0.95,173
238,1.0,238
239,0.95,170
240,0.95,127
241,0.92,34
242,0.82,48
243,0.97,70
244,0.98,9
245,0.92,233
246,0.88,271
247,0.97,127
248,0.91,194
249,0.89,137
250,0.94,70
251,1.0,251
252,0.9,271
253,0.9,133
254,0.94,233
255,0.9,9
256,1.0,256
257,0.99,271
258,0.94,118
259,0.86,137
260,0.93,271
261,0.91,129
262,0.97,133
263,0.9,9
264,0.94,233
265,0.94,271
266,0.88,233
267,0.92,233
268,0.93,328
269,0.86,9
270,0.9,34
271,1.0,271
272,0.9,48
273,0.97,170
274,0.92,48
275,0.94,9
276,1.0,276
277,0.87,34
278,0.91,233
279,0.85,233
280,0.81,34
281,1.0,281
282,0.99,34
283,0.81,198
284,0.93,137
285,1.0,285
286,0.91,34
287,0.9,34
288,0.88,127
289,0.91,133
290,0.97,118
291,0.84,271
292,1.0,292
293,0.95,328
294,0.86,233
295,0.86,198
296,0.86,34
297,0.98,281
298,0.8,48
299,0.92,194
300,1.0,300
301,0.95,233
302,0.81,271
303,0.96,118
304,0.92,271
305,0.9,233
306,0.83,48
307,1.0,307
308,0.95,170
309,0.89,233
310,0.97,133
311,0.91,9
312,0.92,118
313,0.77,9
314,0.9,9
315,0.92,133
316,0.97,81
317,1.0,317
318,0.96,271
319,0.96,194
320,0.91,48
321,0.89,271
322,0.88,137
323,0.93,48
324,0.9,118
325,0.96,9
326,0.98,233
327,0.93,75
328,1.0,328
329,0.85,271
330,0.98,133
331,0.93,173
332,0.93,118
333,0.91,118
